Code,Tweet
Neither,RoseanneBarr
Neither,@iAmLoraG @therealroseanne that's my ted talk. thanks for joining
Anti-Roseanne,@axios @therealroseanne @realDonaldTrump one racist pig cancelled.. one other racist pig to go..and SC Mueller will... https://t.co/BRPNHOmFTE
Anti-Roseanne,@therealroseanne Bye!
Anti-Roseanne,@JustinUtley @Stefanoooch @cnnbrk Roseanne deleted over 500 the... https://t.co/BoMfGY3xfo
Pro-Roseanne,.@therealroseanne they were looking for a reason.  It's a shame.   ABC cancels 'Roseanne' after Barr's racist tweet  https://t.co/jyH3zei74o
Anti-Roseanne,@POTUS_Don45 @Melissa89431446 @therealroseanne Think before you speak...ABC cancelled her. The right thing to do...... https://t.co/y7fvSC0nm5
Anti-Roseanne,Yayyyyy! Buh-bye @therealroseanne
Neither,Robert Iger on the cancellation of 'Roseanne' on the comp... https://t.co/FYCHmpoPz9
Neither,@ryan90_chris @FoxNews @KevinCate @dailybriefing @therealroseanne @ABC @RoseanneOnABC When did a liberal say something racist against Trump?
Neither,@AmandaNHardwic1 @attridgj @CaughtYa164 @therealroseanne Holy fuck
Anti-Roseanne,Dear @ABCNetwork thank you for canceling @therealroseanne. She has the right to be a bigot if she wants
Anti-Roseanne,@Glinner You can almost  guarantee that Rod Liddle/Taki/Brendan O'Neill are composing their pro Roseanne racism col... https://t.co/POZKyg4T2z
Neither,BREAKING: ABC cancels Roseanne - https://t.co/5LrwTPHZI9
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Neither,@Toure lol 'toure' has a podcast Roseanne.  KEE... https://t.co/aFtIWbkh8Y
Anti-Roseanne,So self-centered Trump supporter
Neither,Roseanne
Neither,@starofthenight5 @therealroseanne I bet you praise the NFL for not covertly blackballing Colin Kaepernick though
Pro-Roseanne,Roseanne innocent!
Anti-Roseanne,I was a fan of the old Roseanne show now I'll be at peace if I never see another episode never tuned into the reboo... https://t.co/Nl4ohA2B59
Anti-Roseanne,Surprised they finally cancelled Roseanne considering how she had *always* been a problematic mess
Neither,@therealroseanne  https://t.co/TeG3pq3GDw
Neither,Mmmmm not being rude but Sara Gilbert's involvement on Roseanne to make some overly reductive 'see we're just like... https://t.co/BX5aVvNfrd
Anti-Roseanne,@CarJoJoe @TT45Pac @therealroseanne Asshole = A Racist uneducated
Anti-Roseanne,@Jordan_Sather_ @therealroseanne What lie? Did she not tweet what she tweeted? The delusion knows no bounds.
Neither,@emrazz And @ABCNetwork cancelled Roseanne!
Neither,@intheMatrixxx @therealroseanne @snopes @andersoncooper @POTUS George Soros was born in 1930. The war broke out in... https://t.co/T32h1sz3Uh
Neither,@mojopo @therealroseanne @ChelseaClinton @OpenSociety What's that? https://t.co/8vD2CnmuP5
Neither,Roseanne
Neither,@therealroseanne https://t.co/MqyCercQe0
Anti-Roseanne,@therealroseanne You fucked up.
Neither,Apparently Roseanne is a point guard for the Houston Rockets.
Anti-Roseanne,@therealroseanne Glad to see they got her off the air
Anti-Roseanne,If Roseanne would've won the presidential election when she ran
Anti-Roseanne,@NoJesusNoPeace1 @therealroseanne If anyone is pathetic it's you for throwing away your morals
Neither,@soonerrick @BethB1213 @therealroseanne @ABCNetwork I'm sure you've heard the news...
Anti-Roseanne,@therealroseanne @ChelseaClinton @OpenSociety Can you please just ride off in to the sunset you vacuous
Neither,therealroseanne
Neither,@THEsaragilbert Her character already has an addiction issue. I say bump her off
Anti-Roseanne,Poor
Neither,RE: Roseanne https://t.co/z7vjHU2sKR
Neither,Roseanne
Neither,@juanadamas95 @Only4RM @iamwandasykes @RoseanneOnABC @therealroseanne @ValerieJarrett Russian Bot
Anti-Roseanne,@TedNugent So it turns out Roseanne is just like your everyday Trump fan! Racist human trash :D Ted Nugent
Anti-Roseanne,@jemillerwbal Roseanne is nuts.
Neither,Roseanne
Anti-Roseanne,@Gavin_McInnes @Chadwick_Moore @therealroseanne No need to pretend her intent was clear
Neither,@therealroseanne Take your show to another network
Neither,Roseanne
Neither,I saw this on the BBC and thought you should see it:  ABC drops Roseanne show after racist tweet - https://t.co/u6fCL7mhgV
Neither,Roseanne
Neither,On FOX news they are saying that the Twitter by Roseanne should not be related to Trump. He is the reason why it is... https://t.co/Ll28EPJRIF
Anti-Roseanne,I wonder how long it'll take before Roseanne Barr gets a sweet primetime gig on @FoxNews
Neither,I ignore Twitter for a few hours to get work done and come back to find Meltdown May hitting a truly dazzling cresc... https://t.co/fwfW9JZRsV
Anti-Roseanne,@realmikepacker @Sarah_G_Barker @EdKrassen @therealroseanne She said something racist af sport. There is a difference
Anti-Roseanne,One ingnorant ugly cowardly racist down
Neither,@Gedsudski @therealroseanne @RoseanneOnABC  https://t.co/vwO3eCTwXL
Pro-Roseanne,I don't think Roseanne meant that as a racist tweet
Neither,Live by the tweet
Neither,BREAKING: ABC Cancels 'Roseanne' https://t.co/V4acWS4DaH via @dailycaller
Neither,@KAT40811334 @therealroseanne Unbelievable!!!
Neither,@JoeClowers1 @Erick_O_524 @SailorDemocracy @devdev324 @JTMYVA @josie41929 @therealroseanne This is how he responded... https://t.co/YUXYpTo1Lx
Anti-Roseanne,@therealroseanne k bye
Neither,@JUTTAV @Amandam2941Lynn @GardenGuy82 @overthewall1630 @soonerrick @BethB1213 @therealroseanne @ABCNetwork Yeah the pos will
Neither,DetailsInside
Neither,Roseanne
Neither,@chrixtian_ @MarkDice @therealroseanne  https://t.co/1QehegCNgq
Neither,ABC cancels 'Roseanne' following star's racist tweet  https://t.co/mtGCKKP7fy
Neither,@TedNugent ABC's Full Statement On Why Roseanne's Show Is Cancelled: https://t.co/4MQIA6XQb1
Neither,@therealroseanne https://t.co/MWwDIWeRPH
Neither,Roseanne
Neither,"Roseanne Barr Starts Storm With Racist Twitter Post About Ex-Obama Adviser Ms. Barr cited ""The Planet of the Apes""... https://t.co/a8hJjNiBbz"
Anti-Roseanne,@Richie59FIFTY If Roseanne was willing to make the statements she did on social media
Pro-Roseanne,Roseanne is awesome! Her  Show canceled over a tweet?!!! Is this what its coming too? Insanity/// we are entitled t... https://t.co/wYvjrMFfyK
Neither,@AmandaBeyerrr Same...Like home watching new Roseanne episodes... I mean     ... too soon?
Anti-Roseanne,AHAHAHAHA NOT FEELING SORRY FOR ROSEANNE OR THAT WACK ASS SHOW OR THAT WACK ASS CAST.
Neither,Roseanne Barr apologizes for racially charged 'bad joke' about Valerie Jarrett
Neither,ABC drops Roseanne show after racist tweet https://t.co/jRxoBTT645
Anti-Roseanne,@therealroseanne See ya....good riddance... you your racism
Neither,@therealroseanne  https://t.co/sH0m3gUEAy
Neither,ABC CANCELS ROSEANNE'.  (Fox execs frantically rearrange fall schedule)
Neither,ABC
Neither,@DrShayPhD @therealroseanne I don't think it's ok for any of them honestly. For the same reason I think Wolf's dist... https://t.co/KGvlehZJ8Y
Neither,Out of Roseanne who would you shag marry kill?
Pro-Roseanne,I totally disagree with Roseanne's tweet. She's free to say what she wants...just like all the liberals who do the... https://t.co/uNXfhTFuqI
Pro-Roseanne,C'mon @ABCNetwork! Don't cancel @therealroseanne ppl make mistakes. @RoseanneOnABC =great positive msg! Rash decision. Done watching ABC
Neither,@RelaxedMomma @KayaJones @therealroseanne I agree
Anti-Roseanne,I'm not even remotely surprised by the whole @therealroseanne situation. You give a racist a platform and surprise... https://t.co/9VsyHIyb5p
Neither,@RepStevenSmith @therealroseanne But it is Trump who was in Epstein's little black book and who flew with him on th... https://t.co/9NXQsn31IX
Anti-Roseanne,Roseanne Barr is such a piece of human trash
Neither,ABC cancels 'Roseanne' following Roseanne Barr's racially-charged tweet https://t.co/6T2SsyTfDo https://t.co/CTDjesbhG5
Pro-Roseanne,Lmmfao at the crybaby leftists who are mad because @therealroseanne gave the left a dose of what they do everyday w... https://t.co/WMDw7iv9TL
Neither,@CNNISISFAKENEWS @therealroseanne LMAO!!!
Pro-Roseanne,@therealroseanne  should sue ABC for violating her first amendment rights and cancelling a show based on a comment!... https://t.co/F6md2dOu4u
Anti-Roseanne,"@irishrygirl @therealroseanne What gets me is how since she's a comedian she thinks she cld get by wth ""it's a joke... https://t.co/a6vEwLhMY0"
Anti-Roseanne,@AmandaNHardwic1 @therealroseanne So it's ok to throw racial slurs around huh?
Neither,Roseanne
Neither,THEMICK
Pro-Roseanne,Well
Neither,ABC
Neither,@LosEstevan @mbmcmanamon @therealroseanne @ChelseaClinton @OpenSociety Donald will find one for her.
Neither,@ambertamblyn Give your dad a talk show in Roseanne's time slot.
Neither,@NC_Sasquatch @FLOTUS @PressSec @SenatorTimScott @therealroseanne @ABCNetwork Yes
Neither,@andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne Now THAT'S funny.
Neither,ABC Entertainment cancels Roseanne Barr's show https://t.co/xcEsdKdUMY
Anti-Roseanne,@therealroseanne Way to go on your ignorant tweet. Now you and your whole cast are out of work!
Neither,@JTMYVA @therealroseanne Dickhead
Neither,Roseanne
Neither,ABC drops Roseanne show after racist tweet https://t.co/stXPddmdJh
Neither,Roseanne
Anti-Roseanne,Congrats to ABC! I cherish my right of free speech. But there are still lines
Neither,ABC cancels Roseanne following star's controversial comments  https://t.co/IXEOC9diI7
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Anti-Roseanne,Everyone is late to the game! Roseanne Barr was never funny. Her biggest offense to society was labeling herself a... https://t.co/88DGhrxrL3
Neither,@JesseKellyDC Tim Allen is trending a bit. A lot of tweets going after him. Seems like the idea is that this Rosean... https://t.co/s9HMLRGXsF
Neither,ABC pulls the plug on 'Roseanne.' https://t.co/dRS6HXMvmo
Neither,@andygh26 @DEERAILOKC @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne posting naked picture of FLOTUS is ok you idiot
Neither,Roseanne
Anti-Roseanne,Well but I feel sorry for the rest of the cast on... https://t.co/uUBobJ7v42
Pro-Roseanne,Now I'm pissed off Roseanne is a great show. You liberals are hippocreat s.
Neither,@kenolin1 @therealroseanne So did my child and every vaccine injured child harmed due to the negligence and callous... https://t.co/73wjgyBKEd
Neither,BREAKING
Neither,@TheTweetOfGod @realDonaldTrump @therealroseanne Well that will last me a day...
Neither,@therealroseanne Watching two idiotic parties aruging is so funny! https://t.co/RVtKmtlXm7
Neither,@ways_there @therealroseanne Exactly!
Neither,ABC pulls the plug on 'Roseanne.' https://t.co/WVHj5Izxwi
Neither,@pantshalfoff @thehill That's a terrible idea.  Roseanne is the show.
Neither,morandiniblog: URGENT - ABC annonce    l'instant qu'elle supprime la s  rie    succ  s Roseanne
Neither,punbelievable
Neither,keep it movin https://t.co/jKhbjxIbGa
Anti-Roseanne,Now @therealroseanne can bake more Nazi cookies while dressing up like a Nazi
Neither,ABC
Neither,@1charlieprince @puffballsgirl @therealroseanne
Neither,@overthewall1630 @soonerrick @BethB1213 @therealroseanne @ABCNetwork Liberals don't watch Roseanne
Neither,@FoxNews @danapeRINO Has turned into CNN mentioned North Korea peace talks once... https://t.co/3n40ftwr8W
Pro-Roseanne,@therealroseanne Don't leave twitter! We need blunt conservative voices like you to shout from the rooftops what we... https://t.co/OX01CIbQgC
Pro-Roseanne,@FoxNews @JBaker31826004 @KevinCate @dailybriefing @FoxNews @FOXTV Pickup @therealsoeannes show! Don't let tyranny... https://t.co/zEnXiODkoe
Anti-Roseanne,BAAAAAM!!!!!
Neither,Roseanne
Neither,Lost in the conversation today about @therealroseanne 
Neither,Roseanne' Canceled at ABC - Variety https://t.co/QwqPRIONJG
Neither,@therealroseanne  https://t.co/zLpUBgzwJm
Neither,I'm sure Roseanne's co-stars are really excited that she shared her thoughts...
Neither,@stormishere18 @MarkSZaidEsq @T_S_P_O_O_K_Y @therealroseanne Yeah b... https://t.co/iaVH4HulI3
Neither,Here's how they can save Roseanne https://t.co/dyEmgk9O8n
Neither,TheMiddle
Neither,@lynn_driessen I actually omitted her
